time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.front_left,.front_right,.rear_left,.rear_right
2021/09/10/13:52:53.484568,2208,1631296373,484217405,,201,110,109,107
2021/09/10/13:52:53.500937,2209,1631296373,500213623,,202,110,109,107
2021/09/10/13:52:53.526492,2210,1631296373,526065587,,203,111,109,107
2021/09/10/13:52:53.542608,2211,1631296373,542119979,,204,111,109,107
2021/09/10/13:52:53.558934,2212,1631296373,558190345,,205,111,106,107
2021/09/10/13:52:53.584385,2213,1631296373,584009170,,206,111,106,107
2021/09/10/13:52:53.600626,2214,1631296373,600023031,,207,111,106,107
2021/09/10/13:52:53.626395,2215,1631296373,625990629,,208,111,106,107
2021/09/10/13:52:53.642209,2216,1631296373,641851425,,209,111,106,107
2021/09/10/13:52:53.658712,2217,1631296373,657996892,,210,111,106,109
2021/09/10/13:52:53.684402,2218,1631296373,683877706,,211,111,109,109
2021/09/10/13:52:53.700383,2219,1631296373,699862957,,212,111,109,109
2021/09/10/13:52:53.726216,2220,1631296373,725756406,,213,111,109,109
2021/09/10/13:52:53.742159,2221,1631296373,741715192,,214,108,109,109
2021/09/10/13:52:53.758281,2222,1631296373,757817983,,215,108,109,109
2021/09/10/13:52:53.784537,2223,1631296373,783762693,,216,108,113,110
2021/09/10/13:52:53.800067,2224,1631296373,799683332,,217,108,113,110
2021/09/10/13:52:53.825919,2225,1631296373,825559377,,218,108,113,110
2021/09/10/13:52:53.841902,2226,1631296373,841533184,,219,110,113,110
2021/09/10/13:52:53.858253,2227,1631296373,857689380,,220,110,113,110
2021/09/10/13:52:53.884047,2228,1631296373,883588075,,221,110,115,113
2021/09/10/13:52:53.900093,2229,1631296373,899479389,,222,110,115,113
2021/09/10/13:52:53.925782,2230,1631296373,925445079,,223,110,115,113
2021/09/10/13:52:53.941792,2231,1631296373,941350698,,224,110,115,113
2021/09/10/13:52:53.957678,2232,1631296373,957352399,,225,113,115,113
2021/09/10/13:52:53.984622,2233,1631296373,984318971,,226,113,114,114
2021/09/10/13:52:54.000607,2234,1631296374,202178,,227,113,114,114
2021/09/10/13:52:54.026532,2235,1631296374,26211738,,228,113,114,114
